res	var	time	id	start	end	path
monthly	more_precip	historical	04486	18910101	20021231	/monthly/more_precip/historical/monatswerte_RR_04486_18910101_20021231_hist.zip
monthly	more_precip	historical	04487	18910101	19941231	/monthly/more_precip/historical/monatswerte_RR_04487_18910101_19941231_hist.zip
monthly	more_precip	historical	04488	19210101	20151231	/monthly/more_precip/historical/monatswerte_RR_04488_19210101_20151231_hist.zip
monthly	more_precip	historical	04489	19010101	19911031	/monthly/more_precip/historical/monatswerte_RR_04489_19010101_19911031_hist.zip
monthly	more_precip	historical	04490	19660101	20151231	/monthly/more_precip/historical/monatswerte_RR_04490_19660101_20151231_hist.zip
monthly	more_precip	historical	04491	18910101	20140430	/monthly/more_precip/historical/monatswerte_RR_04491_18910101_20140430_hist.zip
monthly	more_precip	historical	04492	19650501	19960131	/monthly/more_precip/historical/monatswerte_RR_04492_19650501_19960131_hist.zip
monthly	more_precip	historical	04493	19380101	20151231	/monthly/more_precip/historical/monatswerte_RR_04493_19380101_20151231_hist.zip
monthly	more_precip	historical	04494	19010101	20151231	/monthly/more_precip/historical/monatswerte_RR_04494_19010101_20151231_hist.zip
monthly	more_precip	historical	04495	19510101	20011231	/monthly/more_precip/historical/monatswerte_RR_04495_19510101_20011231_hist.zip
monthly	more_precip	historical	04496	18910101	20071231	/monthly/more_precip/historical/monatswerte_RR_04496_18910101_20071231_hist.zip
monthly	more_precip	historical	04497	19070101	20041130	/monthly/more_precip/historical/monatswerte_RR_04497_19070101_20041130_hist.zip
monthly	more_precip	historical	04498	19560101	20061231	/monthly/more_precip/historical/monatswerte_RR_04498_19560101_20061231_hist.zip
monthly	more_precip	historical	04499	19410101	20021231	/monthly/more_precip/historical/monatswerte_RR_04499_19410101_20021231_hist.zip
monthly	more_precip	historical	04500	19830101	19940131	/monthly/more_precip/historical/monatswerte_RR_04500_19830101_19940131_hist.zip
monthly	more_precip	historical	04501	19780701	20151231	/monthly/more_precip/historical/monatswerte_RR_04501_19780701_20151231_hist.zip
monthly	more_precip	historical	04502	19510101	19960430	/monthly/more_precip/historical/monatswerte_RR_04502_19510101_19960430_hist.zip
monthly	more_precip	historical	04503	19110101	20020630	/monthly/more_precip/historical/monatswerte_RR_04503_19110101_20020630_hist.zip
monthly	more_precip	historical	04505	19460101	19870131	/monthly/more_precip/historical/monatswerte_RR_04505_19460101_19870131_hist.zip
monthly	more_precip	historical	04506	19510101	20011231	/monthly/more_precip/historical/monatswerte_RR_04506_19510101_20011231_hist.zip
monthly	more_precip	historical	04507	18910101	20061231	/monthly/more_precip/historical/monatswerte_RR_04507_18910101_20061231_hist.zip
monthly	more_precip	historical	04508	18870101	20151231	/monthly/more_precip/historical/monatswerte_RR_04508_18870101_20151231_hist.zip
monthly	more_precip	historical	04509	19010101	20151231	/monthly/more_precip/historical/monatswerte_RR_04509_19010101_20151231_hist.zip
monthly	more_precip	historical	04510	19060101	20051231	/monthly/more_precip/historical/monatswerte_RR_04510_19060101_20051231_hist.zip
monthly	more_precip	historical	04511	18930201	20021231	/monthly/more_precip/historical/monatswerte_RR_04511_18930201_20021231_hist.zip
